obstacle_density,radius_setting,test_case_num,source,destination,path_found_yours,path_length_yours,time_yours,nodes_yours,path_found_baseline,path_length_baseline,time_baseline,nodes_baseline,pvi,path_inflation_ratio,ssr
50,tight,1,3479168346,1273357595,False,0,29.611445665359497,28957,True,43152.91766419638,0.12800002098083496,71961,-1,-1,59.76014785786745
50,tight,2,2167631058,3481893581,True,22472.053753363212,25.167802095413208,23886,True,22472.053753363212,0.11502909660339355,61773,0.85804841530431,1.0,61.3326210480307
50,tight,3,1832593795,8514323209,True,3535.912141682475,1.9097671508789062,1968,True,3535.912141682475,0.00851893424987793,4642,0.0,1.0,57.604480827229644
50,tight,4,3491107647,2236941346,True,20391.001670862293,27.22782301902771,26353,True,20391.001670862293,0.12094306945800781,67562,1.2170103641058174,1.0,60.99434593410498
50,tight,5,913498558,1835407716,True,11543.425949062115,15.342055320739746,15367,True,11543.425949062115,0.06979680061340332,38864,0.0,1.0,60.459551255660756
50,tight,6,2168022200,1835496063,True,6385.529247118542,9.614780187606812,9696,True,6385.529247118542,0.04369187355041504,24182,0.0,1.0,59.90406087172278
50,tight,7,8514323209,6094752669,True,3123.445754203857,2.462332010269165,2672,True,3123.445754203857,0.011259078979492188,6169,0.0,1.0,56.686659101961425
50,tight,8,1274031326,3479110325,True,38141.90871180438,28.12703800201416,27678,True,38141.90871180438,0.12547612190246582,70954,0.0,1.0,60.991628378949734
50,tight,9,3517744265,3487889166,True,24186.985780096667,24.862215995788574,24487,True,23559.36594958346,0.10921978950500488,62178,0.7972101313911432,1.026639928759386,60.61790343851523
50,tight,10,2185027111,268301695,True,5282.245978405983,8.037104845046997,7987,True,4619.871596220789,0.03505587577819824,19716,1.8851844180605104,1.1433750632218953,59.48975451410023
50,tight,11,10013324803,2169351529,True,10152.10934614784,16.136898040771484,16037,True,10152.10934614784,0.07305765151977539,40850,0.3988455332123524,1.0,60.741738066095465
50,tight,12,8794963017,10901289719,True,9094.873383307975,17.371570825576782,17273,True,9094.873383307975,0.07888197898864746,43784,0.0,1.0,60.54951580486022
50,tight,13,3501694602,2342125810,True,8088.688529879883,3.499323844909668,3640,True,7901.157960904627,0.015075922012329102,8336,0.0,1.0237345677561653,56.33397312859885
50,tight,14,1278041265,3491353855,True,10574.38173731274,18.07205605506897,17726,True,10574.38173731274,0.09882187843322754,45394,0.0,1.0,60.95078644754813
50,tight,15,3488053123,5524355240,True,3958.7438158839614,0.22586607933044434,252,True,3340.584919288161,0.0009071826934814453,441,4.870764820481572,1.1850451078272612,42.85714285714286
50,tight,16,2599227046,2516912122,True,6037.232259257358,8.522324323654175,7558,True,6037.232259257358,0.03633403778076172,19095,0.0,1.0,60.41895784236711
